name,ciudad,website,rating,reviews,rating_5star,rating_1star,n_posts,last_post,n_images,service_options,attributes
"Clic Reparación","Sabadell","https://clicreparacion.com/sabadell/",5,11,11,0,3,"4 may 2026",4,"estimaciones_online:False | servicios_en_las_instalaciones:False","Se identifica como de propietarias mujeres | Servicios de reparación | Aseos unisex | Amigable con la comunidad LGBTQ+ | Espacio seguro para personas transgénero"
"Clic Reparación Terrassa","Terrassa","https://clicreparacion.com/terrassa/",4.8,45,43,2,4,"4 may 2026",3,"estimaciones_online:False | servicios_en_las_instalaciones:False","Se identifica como de propietarias mujeres | Aseo adaptado para sillas de ruedas | Servicios de reparación | Aseos unisex | Amigable con la comunidad LGBTQ+ | Espacio seguro para personas transgénero | Se necesita cita | Pagos con móvil vía NFC | Tarjetas de crédito | Aparcamiento en la calle de pago"
"Clic Reparación Rubí","Rubí","https://clicreparacion.com/rubi",4.8,30,28,1,5,"4 may 2026",3,"servicios_en_las_instalaciones:True | estimaciones_online:False","Se identifica como de propietarias mujeres | Servicios en las instalaciones | Servicios de reparación | Aseos unisex | Amigable con la comunidad LGBTQ+ | Espacio seguro para personas transgénero | Se necesita cita | Pagos con móvil vía NFC | Tarjetas de crédito"
